RANK,NAME,REVENUES ($M),REVENUE PERCENT CHANGE,PROFITS ($M),PROFITS PERCENT CHANGE,ASSETS ($M),MARKET VALUE,EMPLOYEES,CHANGE IN RANK,CEO GENDER,Sector,City,STATE,YEAR
1,Walmart,"559,151.00",6.7,"13,510.00",-9.2,"252,496.00","382,642.80",2300000,-,male,Retailing,Bentonville,Arkansas,2021
2,Amazon,"386,064.00",37.6,"21,331.00",84.1,"321,195.00","1,558,069.60",1298000,-,male,Retailing,Seattle,Washington,2021
3,Apple,"274,515.00",5.5,"57,411.00",3.9,"323,888.00","2,050,665.90",147000,1,male,Technology,Cupertino,California,2021
4,CVS Health,"268,706.00",4.6,"7,179.00",8.2,"230,715.00","98,653.20",256500,1,female,Health Care,Woonsocket,Rhode Island,2021
5,UnitedHealth Group,"257,141.00",6.2,"15,403.00",11.3,"197,289.00","351,725.00",330000,2,male,Health Care,Minnetonka,Minnesota,2021
6,Berkshire Hathaway,"245,510.00",-3.6,"42,521.00",-47.8,"873,729.00","587,823.00",360000,-,male,Financials,Omaha,Nebraska,2021
7,McKesson,"231,051.00",7.8,900.00,2547.1,"61,247.00","31,044.00",70000,1,male,Health Care,Irving,Texas,2021
8,AmerisourceBergen,"189,893.90",5.7,"-3,408.70",-498.5,"44,274.80","24,169.70",21500,2,male,Health Care,Chesterbrook,Pennsylvania,2021
9,Alphabet,"182,527.00",12.8,"40,269.00",17.3,"319,616.00","1,392,561.80",135301,2,male,Technology,Mountain View,California,2021
10,Exxon Mobil,"181,502.00",-31.5,"-22,440.00",-256.5,"332,750.00","236,355.40",72000,-7,male,Energy,Irving,Texas,2021
11,AT&T,"171,760.00",-5.2,"-5,176.00",-137.2,"525,761.00","215,878.50",230760,-2,male,Technology,Dallas,Texas,2021
12,Costco Wholesale,"166,761.00",9.2,"4,002.00",9.4,"55,556.00","155,984.30",214500,2,male,Retailing,Issaquah,Washington,2021
13,Cigna,"160,401.00",4.5,"8,458.00",65.7,"155,451.00","83,976.10",72963,-,male,Health Care,Bloomfield,Connecticut,2021
14,Cardinal Health,"152,922.00",5.1,"-3,696.00",-371.2,"40,766.00","17,840.30",48000,2,male,Health Care,Dublin,Ohio,2021
15,Microsoft,"143,015.00",13.6,"44,281.00",12.8,"301,311.00","1,778,228.20",163000,6,male,Technology,Redmond,Washington,2021
16,Walgreens Boots Alliance,"139,537.00",2,456.00,-88.5,"87,174.00","47,455.30",277000,3,female,Food & Drug Stores,Deerfield,Illinois,2021
17,Kroger,"132,498.00",8.4,"2,585.00",55.8,"48,662.00","27,064.30",465000,6,male,Food & Drug Stores,Cincinnati,Ohio,2021
18,Home Depot,"132,110.00",19.9,"12,866.00",14.4,"70,581.00","328,775.40",504800,8,male,Retailing,Atlanta,Georgia,2021
19,JPMorgan Chase,"129,503.00",-9.1,"29,131.00",-20,"3,386,071.00","464,530.80",255351,-2,male,Financials,New York City,New York,2021
20,Verizon Communications,"128,292.00",-2.7,"17,801.00",-7.6,"316,481.00","240,633.30",132200,-,male,Technology,New York City,New York,2021
21,Ford Motor,"127,144.00",-18.4,"-1,279.00",-2821.3,"267,261.00","48,739.00",186000,-9,male,Motor Vehicles & Parts,Dearborn,Michigan,2021
22,General Motors,"122,485.00",-10.7,"6,427.00",-4.5,"235,194.00","82,794.90",155000,-4,female,Motor Vehicles & Parts,Detroit,Michigan,2021
23,Elevance Health,"121,867.00",16.9,"4,572.00",-4.9,"86,615.00","87,908.90",83400,6,female,Health Care,Nashville,Tennessee,2021
24,Centene,"111,115.00",48.9,"1,808.00",36.9,"68,719.00","37,169.60",71300,18,female,Health Care,Clayton,Missouri,2021
25,Fannie Mae,"106,437.00",-11.5,"11,805.00",-16.6,"3,985,749.00","2,397.20",7700,-1,male,Financials,Washington DC,District of Columbia,2021
26,Comcast,"103,564.00",-4.9,"10,534.00",-19.3,"273,869.00","247,859.30",168000,2,male,Technology,Philadelphia,Pennsylvania,2021
27,Chevron,"94,692.00",-35.4,"-5,543.00",-289.6,"239,790.00","201,865.00",47736,-12,male,Energy,San Ramon,California,2021
28,Dell Technologies,"94,224.00",2.2,"3,250.00",-29.6,"123,415.00","67,229.10",158000,6,male,Technology,Round Rock,Texas,2021
